Store,Keyword,Product Name,Unit Size,Price Text,Price,URL,Scrape Date
Spice Divine,dal,24 Mantra  Organic Masoor Dal,4lb,N/A,0.0,https://spicedivine.ca/products/24-mantra-organic-masoor-dal-4lb,2026-02-20
Spice Divine,rice,24 Mantra Organic  Sonamasuri Hand Pounded Rice -,1kg,$9.99,9.99,https://spicedivine.ca/products/24-mantra-organic-sonamasuri-hand-pounded-rice-1kg,2026-02-20
Spice Divine,rice,24 Mantra Organic  Sonamasuri Hand Pounded Rice -,5kg,$49.99,49.99,https://spicedivine.ca/products/24-mantra-organic-sonamasuri-hand-pounded-rice-1kg,2026-02-20
Spice Divine,rice,24 Mantra Organic Basmati Rice,10lb,$39.99,39.99,https://spicedivine.ca/products/24-mantra-organic-basmati-rice-10lb,2026-02-20
Spice Divine,flour,24 Mantra Organic Besan (Chickpea Flour),2lb,$9.99,9.99,https://spicedivine.ca/products/24-mantra-besan-chickpea-flour-2lb,2026-02-20
Spice Divine,chana,24 Mantra Organic Brown Chana (Brown Chickpea) -,2Lb,$9.99,9.99,https://spicedivine.ca/products/24-mantra-organic-brown-chana-brown-chickpea-2lb,2026-02-20
Spice Divine,chana,24 Mantra Organic Brown Chana (Brown Chickpea) -,4Lb,$17.99,17.99,https://spicedivine.ca/products/24-mantra-organic-brown-chana-brown-chickpea-2lb,2026-02-20
Spice Divine,dal,24 Mantra Organic Chana Dal (Split Chickpea) -,2lb,$8.99,8.99,https://spicedivine.ca/products/24-mantra-organic-chana-dal-split-chickpea-2lb,2026-02-20
Spice Divine,dal,24 Mantra Organic Chana Dal (Split Chickpea) -,4lb,$14.69,14.69,https://spicedivine.ca/products/24-mantra-organic-chana-dal-split-chickpea-2lb,2026-02-20
Spice Divine,powder,24 Mantra Organic Coriander Powder,200g,$5.99,5.99,https://spicedivine.ca/products/24-mantra-organic-coriander-powder-200g,2026-02-20
Spice Divine,corn,24 Mantra Organic Corn Dhaliya (Corn Grits),1.1lb,$3.39,3.39,https://spicedivine.ca/products/24-mantra-organic-corn-dhaliya-corn-grits-11lb,2026-02-20
Spice Divine,flour,24 Mantra Organic Corn Flour,500g,$3.99,3.99,https://spicedivine.ca/products/24-mantra-organic-corn-flour-500g,2026-02-20
Spice Divine,salt,24 Mantra Organic Crystal Himalayan Salt,1Kg,$7.99,7.99,https://spicedivine.ca/products/24-mantra-organic-crystal-himalayan-salt-1kg,2026-02-20
Spice Divine,seed,24 Mantra Organic Cumin Seeds,200g,$8.99,8.99,https://spicedivine.ca/products/24-mantra-organic-cumin-seeds-200g,2026-02-20
Spice Divine,powder,24 Mantra Organic Fenugreek Powder,200g,$2.99,2.99,https://spicedivine.ca/products/24-mantra-organic-fenugreek-powder-200g,2026-02-20
Spice Divine,flour,24 Mantra Organic Gluten Free Multigrain Flour -,1kg,$7.99,7.99,https://spicedivine.ca/products/24-mantra-organic-gluten-free-multigrain-flour-1kg,2026-02-20
Spice Divine,flour,24 Mantra Organic Gluten Free Multigrain Flour -,4Kg,$27.99,27.99,https://spicedivine.ca/products/24-mantra-organic-gluten-free-multigrain-flour-1kg,2026-02-20
Spice Divine,Round,24 Mantra Organic Groundnut Oil,1L,$18.87,18.87,https://spicedivine.ca/products/24-mantra-organic-groundnut-oil-1l,2026-02-20
Spice Divine,salt,24 Mantra Organic Himalayan Salt,1Kg,$7.99,7.99,https://spicedivine.ca/products/24-mantra-organic-himalayan-salt-1kg,2026-02-20
Spice Divine,flour,24 Mantra Organic Idly Rava Flour,2.2lb,$7.26,7.26,https://spicedivine.ca/products/24-mantra-organic-idly-rava-22lb,2026-02-20
Spice Divine,rice,24 Mantra Organic Idly Rice,1kg,$6.99,6.99,https://spicedivine.ca/products/24-mantra-organic-idly-rice-1kg,2026-02-20
Spice Divine,jaggery,24 Mantra Organic Jaggery Cube,450g,$5.99,5.99,https://spicedivine.ca/products/24-mantra-organic-jaggery-cube-450g,2026-02-20
Spice Divine,powder,24 Mantra Organic Jaggery Powder,500g,$4.99,4.99,https://spicedivine.ca/products/24-mantra-organic-jaggary-powder-500g,2026-02-20
Spice Divine,chana,24 Mantra Organic Kabuli Chana -,2lb,$9.99,9.99,https://spicedivine.ca/products/24-mantra-organic-kabuli-chana-2lb,2026-02-20
Spice Divine,chana,24 Mantra Organic Kabuli Chana -,4lb,$15.69,15.69,https://spicedivine.ca/products/24-mantra-organic-kabuli-chana-2lb,2026-02-20
Spice Divine,rice,24 Mantra Organic Low GI Rice,2kg,$15.99,15.99,https://spicedivine.ca/products/24-mantra-organic-low-gi-rice-2kg,2026-02-20
Spice Divine,dal,24 Mantra Organic Masoor Dal,2Lb,$8.99,8.99,https://spicedivine.ca/products/24-mantra-organic-masoor-dal-2lb,2026-02-20
Spice Divine,dal,24 Mantra Organic Masoor Dal,4Lb,$13.99,13.99,https://spicedivine.ca/products/24-antra-organic-masoor-dal-4lb,2026-02-20
